account_id,customer_id,account_type,balance
ACC0000001,CUST002527,checking,3109.24
ACC0000002,CUST003262,savings,4168.24
ACC0000003,CUST002007,checking,323.39
ACC0000004,CUST000219,credit_card,19305.61
ACC0000005,CUST002886,savings,792.07
ACC0000006,CUST000101,savings,28426.4
ACC0000007,CUST001383,savings,4528.06
ACC0000008,CUST004197,checking,9048.71
ACC0000009,CUST002323,savings,1239.44
ACC0000010,CUST002936,checking,1640.86
ACC0000011,CUST004824,checking,3020.74
ACC0000012,CUST001124,checking,3025.3
ACC0000013,CUST004233,checking,5116.52
ACC0000014,CUST003759,checking,6401.98
ACC0000015,CUST001900,savings,3973.99
ACC0000016,CUST001319,credit_card,13973.49
ACC0000017,CUST001370,checking,3319.07
ACC0000018,CUST002100,checking,524.42
ACC0000019,CUST003197,checking,5122.61
ACC0000020,CUST002256,checking,429.23
ACC0000021,CUST000737,checking,7324.47
ACC0000022,CUST004777,checking,877.51
ACC0000023,CUST001945,checking,2624.54
ACC0000024,CUST004460,savings,1722.0
ACC0000025,CUST000947,checking,3921.58
ACC0000026,CUST001394,checking,5504.32
ACC0000027,CUST003884,savings,4453.55
ACC0000028,CUST001393,checking,28961.94
ACC0000029,CUST004475,checking,4969.64
ACC0000030,CUST002110,credit_card,4990.64
ACC0000031,CUST002285,checking,4644.77
ACC0000032,CUST000021,checking,474.45
ACC0000033,CUST002113,credit_card,688.45
ACC0000034,CUST001545,checking,1086.5
ACC0000035,CUST002740,checking,858.07
ACC0000036,CUST004759,checking,11155.24
ACC0000037,CUST000071,checking,1597.37
ACC0000038,CUST004192,savings,4279.19
ACC0000039,CUST001999,checking,2620.19
ACC0000040,CUST002676,checking,7286.84
ACC0000041,CUST002351,checking,10098.6
ACC0000042,CUST002428,checking,4797.07
ACC0000043,CUST004124,credit_card,497.35
ACC0000044,CUST004726,credit_card,1141.01
ACC0000045,CUST004950,checking,9009.92
ACC0000046,CUST002966,checking,2137.36
ACC0000047,CUST003502,savings,3643.3
ACC0000048,CUST004715,savings,2502.39
ACC0000049,CUST004664,checking,10226.05
ACC0000050,CUST004990,credit_card,24376.79
ACC0000051,CUST000234,checking,1259.39
ACC0000052,CUST000169,checking,3703.35
ACC0000053,CUST002904,checking,8553.4
ACC0000054,CUST000593,savings,11286.95
ACC0000055,CUST004319,savings,5202.85
ACC0000056,CUST003806,savings,870.76
ACC0000057,CUST000633,checking,846.42
ACC0000058,CUST000631,savings,7342.6
ACC0000059,CUST000528,credit_card,989.7
ACC0000060,CUST001710,savings,2812.77
ACC0000061,CUST004225,credit_card,8438.34
ACC0000062,CUST001501,checking,5161.43
ACC0000063,CUST003522,credit_card,8293.57
ACC0000064,CUST002756,checking,4576.55
ACC0000065,CUST003016,checking,1735.89
ACC0000066,CUST000254,checking,11349.13
ACC0000067,CUST003383,savings,1300.32
ACC0000068,CUST002255,credit_card,6308.02
ACC0000069,CUST000699,credit_card,3179.17
ACC0000070,CUST002778,savings,1183.15
ACC0000071,CUST003048,savings,8575.19
ACC0000072,CUST000596,checking,7135.67
ACC0000073,CUST002502,savings,9166.33
ACC0000074,CUST001708,savings,478.75
ACC0000075,CUST003762,checking,2470.98
ACC0000076,CUST002523,checking,4871.37
ACC0000077,CUST000168,checking,954.23
ACC0000078,CUST001520,checking,2205.4
ACC0000079,CUST002816,savings,5123.27
ACC0000080,CUST002090,savings,14447.6
ACC0000081,CUST001336,credit_card,478.41
ACC0000082,CUST002073,checking,671.41
ACC0000083,CUST001639,checking,3234.81
ACC0000084,CUST000467,savings,16218.66
ACC0000085,CUST003485,checking,1514.89
ACC0000086,CUST002940,savings,5258.64
ACC0000087,CUST002653,credit_card,2217.98
ACC0000088,CUST000371,credit_card,948.61
ACC0000089,CUST003350,checking,2845.93
ACC0000090,CUST002903,checking,6926.84
ACC0000091,CUST004031,savings,6165.57
ACC0000092,CUST000415,savings,21736.68
ACC0000093,CUST001622,credit_card,677.65
ACC0000094,CUST002696,credit_card,4650.52
ACC0000095,CUST000660,savings,17508.64
ACC0000096,CUST004254,savings,14107.3
ACC0000097,CUST001228,credit_card,4066.46
ACC0000098,CUST001444,credit_card,2004.49
ACC0000099,CUST001946,savings,204.69
ACC0000100,CUST000414,checking,2631.93
ACC0000101,CUST000874,savings,1053.03
ACC0000102,CUST001603,checking,8468.82
ACC0000103,CUST001034,savings,3413.11
ACC0000104,CUST002123,checking,6699.78
ACC0000105,CUST003203,savings,27265.71
ACC0000106,CUST003061,checking,3462.32
ACC0000107,CUST004349,checking,374.45
ACC0000108,CUST000758,credit_card,2970.19
ACC0000109,CUST003203,savings,1708.01
ACC0000110,CUST000020,checking,2946.23
ACC0000111,CUST000021,checking,1455.78
ACC0000112,CUST004216,credit_card,1661.45
ACC0000113,CUST001879,credit_card,2823.95
ACC0000114,CUST002276,savings,1042.39
ACC0000115,CUST004359,checking,12099.49
ACC0000116,CUST002869,savings,13817.14
ACC0000117,CUST003457,checking,1122.29
ACC0000118,CUST004007,savings,2443.78
ACC0000119,CUST003288,savings,3843.25
ACC0000120,CUST003817,savings,3175.42
