customer_id,age,state,customer_tenure_months
CUST000001,23,SC,61
CUST000002,65,NC,40
CUST000003,58,NY,94
CUST000004,45,NY,120
CUST000005,44,CA,48
CUST000006,71,AZ,139
CUST000007,23,FL,115
CUST000008,61,IL,30
CUST000009,30,CA,169
CUST000010,23,VA,8
CUST000011,50,IL,118
CUST000012,78,NC,80
CUST000013,63,TX,118
CUST000014,65,AZ,140
CUST000015,62,NY,124
CUST000016,66,AZ,118
CUST000017,49,NC,152
CUST000018,25,TX,127
CUST000019,70,CA,147
CUST000020,45,NY,73
CUST000021,49,IL,37
CUST000022,40,FL,43
CUST000023,29,NY,111
CUST000024,75,FL,96
CUST000025,66,IL,14
CUST000026,57,SC,37
CUST000027,42,VA,175
CUST000028,69,NC,131
CUST000029,51,CA,136
CUST000030,45,VA,36
CUST000031,45,GA,12
CUST000032,32,IL,53
CUST000033,23,GA,155
CUST000034,52,SC,92
CUST000035,73,NC,142
CUST000036,21,VA,88
CUST000037,71,AZ,89
CUST000038,69,TX,109
CUST000039,35,AZ,173
CUST000040,57,VA,79
CUST000041,28,GA,108
CUST000042,65,SC,166
CUST000043,61,GA,68
CUST000044,39,TX,152
CUST000045,22,IL,97
CUST000046,78,GA,159
CUST000047,45,CA,85
CUST000048,73,NY,114
CUST000049,60,VA,59
CUST000050,66,AZ,115
CUST000051,65,FL,59
CUST000052,30,SC,110
CUST000053,40,AZ,142
CUST000054,46,AZ,79
CUST000055,48,NC,78
CUST000056,20,AZ,58
CUST000057,51,AZ,132
CUST000058,27,IL,107
CUST000059,64,VA,93
CUST000060,60,NY,5
CUST000061,75,TX,20
CUST000062,64,NY,2
CUST000063,40,NY,154
CUST000064,77,NY,154
CUST000065,43,TX,13
CUST000066,38,NY,9
CUST000067,74,TX,141
CUST000068,40,NC,95
CUST000069,22,NC,56
CUST000070,47,AZ,111
CUST000071,67,AZ,43
CUST000072,29,TX,36
CUST000073,46,SC,67
CUST000074,26,CA,162
CUST000075,60,SC,139
CUST000076,47,GA,35
CUST000077,38,GA,102
CUST000078,32,NC,160
CUST000079,52,IL,172
CUST000080,59,TX,138
CUST000081,76,GA,24
CUST000082,45,TX,44
CUST000083,27,NC,40
CUST000084,69,FL,28
CUST000085,57,TX,32
CUST000086,61,GA,57
CUST000087,24,IL,100
CUST000088,37,VA,72
CUST000089,65,SC,76
CUST000090,69,TX,45
CUST000091,44,IL,28
CUST000092,67,GA,180
CUST000093,70,NC,108
CUST000094,42,AZ,42
CUST000095,73,FL,146
CUST000096,35,SC,150
CUST000097,32,NY,175
CUST000098,60,GA,29
CUST000099,57,AZ,116
CUST000100,26,VA,177
CUST000101,69,TX,146
CUST000102,30,TX,41
CUST000103,67,VA,161
CUST000104,18,FL,76
CUST000105,67,SC,89
CUST000106,66,NY,101
CUST000107,66,CA,139
CUST000108,59,AZ,22
CUST000109,47,GA,98
CUST000110,61,VA,148
CUST000111,35,TX,99
CUST000112,66,NY,50
CUST000113,52,AZ,11
CUST000114,46,NC,99
CUST000115,49,VA,127
CUST000116,53,VA,99
CUST000117,20,VA,177
CUST000118,26,FL,109
CUST000119,33,IL,92
CUST000120,25,NC,10
CUST000121,45,IL,101
CUST000122,59,NY,31
CUST000123,58,NY,131
CUST000124,47,NY,30
CUST000125,71,SC,164
CUST000126,53,CA,55
CUST000127,22,VA,79
