transaction_id,account_id,customer_id,timestamp,amount,merchant_category,channel,state,device_id,is_new_device,is_fraud,fraud_type
TXN00000001,ACC0005002,CUST000206,2026-01-03 11:16:49,30.0,entertainment,card,NY,DEV002600,0,0,none
TXN00000002,ACC0000920,CUST002242,2026-05-02 17:42:39,23.21,electronics,card,CA,DEV003095,0,0,none
TXN00000003,ACC0006143,CUST002346,2026-06-24 11:51:24,31.61,utilities,ach,TX,DEV004378,0,0,none
TXN00000004,ACC0001936,CUST003364,2026-06-28 12:30:17,20.05,electronics,mobile,FL,DEV002035,0,0,none
TXN00000005,ACC0004995,CUST003073,2026-05-28 16:30:22,25.19,travel,mobile,SC,DEV000602,0,0,none
TXN00000006,ACC0003044,CUST003948,2026-03-23 00:06:31,29.13,grocery,ach,NC,DEV005279,0,0,none
TXN00000007,ACC0000664,CUST002746,2026-04-11 04:02:33,15.15,grocery,card,CA,DEV006085,0,0,none
TXN00000008,ACC0007269,CUST004306,2026-03-23 05:17:46,28.7,electronics,mobile,VA,DEV004645,0,0,none
TXN00000009,ACC0004011,CUST004418,2026-01-17 23:10:37,2.17,entertainment,mobile,CA,DEV003736,0,0,none
TXN00000010,ACC0001218,CUST002153,2026-05-04 03:47:09,72.82,grocery,card,VA,DEV005952,0,0,none
TXN00000011,ACC0007456,CUST002885,2026-01-04 03:10:02,136.25,restaurant,online,SC,DEV003923,0,0,none
TXN00000012,ACC0006430,CUST000417,2026-01-14 06:23:30,12.55,electronics,card,NC,DEV000036,0,0,none
TXN00000013,ACC0000133,CUST003801,2026-04-09 04:47:51,28.75,entertainment,card,NC,DEV005745,0,0,none
TXN00000014,ACC0001223,CUST003756,2026-03-26 00:40:07,7.7,healthcare,card,TX,DEV007470,0,0,none
TXN00000015,ACC0000758,CUST000914,2026-06-06 21:46:38,30.32,online_retail,card,NY,DEV003279,0,0,none
TXN00000016,ACC0002535,CUST004959,2026-01-22 20:42:04,40.51,restaurant,online,NC,DEV006409,0,0,none
TXN00000017,ACC0003018,CUST001037,2026-02-10 04:49:35,27.16,entertainment,wire,AZ,DEV003103,0,0,none
TXN00000018,ACC0005083,CUST000362,2026-06-13 09:10:28,49.61,restaurant,online,AZ,DEV002272,0,0,none
TXN00000019,ACC0005501,CUST002654,2026-03-22 18:44:17,14.46,utilities,online,NC,DEV004934,0,0,none
TXN00000020,ACC0004625,CUST003475,2026-05-08 12:21:47,9.46,gas_station,card,GA,DEV003252,0,0,none
TXN00000021,ACC0003315,CUST000047,2026-05-14 16:56:00,18.0,grocery,mobile,TX,DEV004281,0,0,none
TXN00000022,ACC0007163,CUST003476,2026-01-18 09:10:05,18.0,entertainment,wire,TX,DEV006242,0,0,none
TXN00000023,ACC0002807,CUST004744,2026-03-10 14:17:26,123.93,electronics,card,SC,DEV001142,0,0,none
TXN00000024,ACC0003086,CUST003644,2026-06-29 12:11:29,33.87,gas_station,online,IL,DEV002358,0,0,none
TXN00000025,ACC0003011,CUST004659,2026-03-01 20:41:11,30.55,entertainment,online,FL,DEV002983,0,0,none
TXN00000026,ACC0007048,CUST001650,2026-05-15 19:32:07,12.83,grocery,mobile,VA,DEV001789,0,0,none
TXN00000027,ACC0007405,CUST003493,2026-01-29 06:01:56,59.21,online_retail,mobile,AZ,DEV006791,0,0,none
TXN00000028,ACC0002761,CUST002609,2026-06-19 17:59:25,1003.0,restaurant,mobile,IL,DEV002255,0,1,velocity_fraud
TXN00000029,ACC0004398,CUST004573,2026-02-21 16:28:29,48.05,restaurant,mobile,VA,DEV001235,0,0,none
TXN00000030,ACC0005367,CUST004722,2026-04-25 13:58:21,371.99,healthcare,card,FL,DEV002686,0,0,none
TXN00000031,ACC0003087,CUST000067,2026-03-19 20:24:47,17.44,restaurant,card,CA,DEV007462,0,0,none
TXN00000032,ACC0000146,CUST004598,2026-01-27 22:00:31,20.56,electronics,card,AZ,DEV002359,0,0,none
TXN00000033,ACC0004436,CUST004994,2026-02-24 02:08:22,75.7,travel,online,FL,DEV005771,0,0,none
